Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Southcoast Health – Charlton Memorial Hospital","Emergency Psychiatric Services – Fall River","Southcoast Health System","Hospital Inpatient",https://www.southcoast.org,"(508) 195-1800",Unknown,"363 Highland Ave","Fall River",MA,2720,Bristol,1,"Greater Fall River and southeastern Bristol County","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Psychiatric Medication Management; Crisis Intervention",Yes,Yes,No,No,No,No,No,"Clinic (hospital)","Emergency psychiatric evaluation; consultation-liaison psychiatry; inpatient behavioral health; referral to Southcoast Behavioral Health Hospital (Dartmouth)",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth, Medicare, commercial","Adults and adolescents presenting with psychiatric emergencies in greater Fall River area","Hospital-based emergency psychiatric evaluation; connection to SBH Hospital Dartmouth",Unknown,"Southcoast Behavioral Health Hospital; CFS; area CBHCs","Charlton Memorial Hospital in Fall River is the Southcoast Health System's Fall River campus, providing emergency psychiatric evaluation and consultation-liaison psychiatry. Patients requiring inpatient psychiatric admission are transferred to the 192-bed Southcoast Behavioral Health Hospital in nearby Dartmouth.","Southcoast Health website",https://www.southcoast.org/services/behavioral-health/,,41.708871,-71.145281,1,rooftop,"363 Highland Ave",,"Fall River, MA 02720",,363,"Highland Ave",,,"Fall River",MA,,"Bristol County",02720,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntp7t5d4t3rmm9lzzwdz3gg4lb5,building_centroid
"Southcoast Health – Morton Hospital Behavioral Health Urgent Care","Behavioral Health Urgent Care – outpatient referral network","Southcoast Health System","Crisis/Urgent Care",https://www.southcoast.org/services/behavioral-health/,"(508) 207-9800",Unknown,"Multiple outpatient sites in Bristol County","New Bedford / Dartmouth / Fall River",MA,Various,Bristol,Multiple,"Bristol County and surrounding southeastern MA",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Crisis Intervention; Individual Therapy; Psychiatric Medication Management",Yes,Yes,No,No,No,No,No,Clinic,"Behavioral health urgent care; referral to Southcoast Behavioral Health Hospital; outpatient psychiatric follow-up",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth, Medicare, commercial","All adults in Bristol County","Behavioral health urgent care + inpatient step-up to Southcoast Behavioral Health Hospital (Dartmouth)",Unknown,"Southcoast Behavioral Health Hospital; area PCPs","Southcoast Health's behavioral health network in Bristol County provides urgent care outpatient psychiatric services and connects patients to the 192-bed Southcoast Behavioral Health Hospital in Dartmouth for inpatient psychiatric admission when needed.","Org website",https://www.southcoast.org/services/behavioral-health/,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
"Southcoast Health System","Inpatient Behavioral Health – St. Luke's Hospital","Southcoast Health System","Hospital Inpatient",https://www.southcoast.org/services/behavioral-health/,"(508) 207-9800",Unknown,"101 Page St","New Bedford",MA,2740,Bristol,"Multiple hospitals (St. Luke's NB, Charlton Memorial Fall River, Tobey Wareham)","Bristol County and surrounding communities",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Psychiatric Medication Management; Crisis Intervention",Yes,Yes,No,No,No,No,In-person,"Emergency psychiatric evaluation; inpatient psychiatric unit; connection to Southcoast Behavioral Health Hospital (Dartmouth); behavioral health urgent care",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth, Medicare, all major commercial plans","All adults and adolescents presenting in hospital","Hospital-based emergency and inpatient psychiatric services",Unknown,"Southcoast Behavioral Health Hospital (Dartmouth); CBHCs; area providers","Southcoast Health System operates inpatient and emergency psychiatric services across three hospitals in the Bristol County area (St. Luke's New Bedford, Charlton Memorial Fall River). Connected to the 192-bed Southcoast Behavioral Health Hospital in Dartmouth for higher-acuity inpatient psychiatric care.","Org website; Southcoast behavioral health connect",https://www.southcoast.org/services/behavioral-health/,,,41.626619,-70.938258,1,rooftop,"101 Page St",,"New Bedford, MA 02740",,101,"Page St",,,"New Bedford",MA,,"Bristol County",02740,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnw8cypv2e5s5pg8gbwys6z9fg65,building_centroid
"Southeast Center for Independent Living (SCIL)","Peer Counseling, Skills Training & Advocacy for People with Disabilities","Southeast Center for Independent Living, Inc.","Peer-Run/Mutual Aid",https://www.secil.org,"(508) 679-9210",Unknown,"66 Troy St, Suite 3","Fall River",MA,2720,Bristol,1,"Greater Fall River and New Bedford; all of Bristol County",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,"People with physical, mental, cognitive, or sensory disabilities","Support Groups; Peer Support; Psychoeducation; Care Coordination",No,No,No,No,No,No,No,"Community Center","WISH program (Wellness, Independence, Support, Hope): peer counseling focused on self-care, mental wellness, social connections, safety, goal setting, technology access; LEAP social recreation (22+); skills training; advocacy; options counseling; information and referral; LGBTQ+ services listed in COC directory; emergency assistance; PCA referrals",Unknown,Unknown,Unknown,Unknown,"LGBTQ+ services noted in COC Street Sheet",Unknown,Unknown,Unknown,Yes,Yes,"Free; state-funded independent living center","Any individual with a significant disability in Greater Fall River and New Bedford area; all income levels","WISH peer wellness program; mental health supports for persons with disabilities; LGBTQ+ services",Unknown,"Mass Rehabilitation Commission; UMass Dartmouth; area colleges","SCIL is a consumer-controlled, cross-disability independent living center serving Greater Fall River and New Bedford. Its WISH program provides peer counseling explicitly focused on mental wellness, self-care, social connections, and safety. SCIL is noted in the Bristol County COC directory as providing LGBTQ support services and advocacy, peer counseling, and skills training by appointment.","Bristol County COC Street Sheet; SCIL website; findhelp.org",https://www.secil.org/,,41.70048,-71.152872,1,range_interpolation,"66 Troy St","Ste 3","Fall River, MA 02720",,66,"Troy St",Ste,3,"Fall River",MA,,"Bristol County",02720,US,,"TIGER/Line® from the US Census Bureau",gcod_usnsjvqy4qnrzkqa7xujsgbu29gx8,
"Southeastern MA Council on Addiction – Harmony House (High Point)","Long-Term Residential SUD – New Bedford","High Point Treatment Center, Inc.",Residential/Detox,https://hptc.org,"(508) 992-1500",Unknown,"234 Earle St","New Bedford",MA,2746,Bristol,1,"Greater New Bedford","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Men with long-term SUD; co-occurring MH","Individual Therapy; Group Therapy; Residential Treatment; Case Management",Yes,No,Yes,No,No,No,No,"Clinic (residential)","Long-term residential SUD treatment for men; dual diagnosis capable; connected to High Point continuum of care",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,"MassHealth; commercial; sliding scale for uninsured","Men with SUD and co-occurring mental health disorders in New Bedford area","Long-term residential SUD; dual diagnosis; men's program",Unknown,"Mass DPH; High Point Treatment Center; area courts","Harmony House (operated by High Point Treatment Center under the Southeastern MA Council on Addiction) is a long-term residential SUD program for men at 234 Earle St in New Bedford. Provides extended residential treatment for co-occurring SUD and mental health disorders, connected to the broader High Point treatment continuum.","Bristol County COC Street Sheet (Supports); SAMHSA directory",https://hptc.org,,41.664351,-70.929336,1,rooftop,"234 Earle St",,"New Bedford, MA 02746",,234,"Earle St",,,"New Bedford",MA,,"Bristol County",02746,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbyz2vdaumr7624ppmvhdxrtn8c,building_centroid
"Southeastern Massachusetts AHEC","Health Workforce Development & Community Health Workers","Southeastern Massachusetts Area Health Education Center","Other (Statewide/Regional Program)",https://www.semasahec.org,Unknown,Unknown,"Statewide/southeastern MA","New Bedford",MA,Statewide,Bristol,1,"Southeastern MA including Bristol County",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Underserved communities; health disparities populations","Psychoeducation; Care Coordination",No,No,No,No,No,No,No,"Community Center","Community health worker training; behavioral health workforce development; health literacy; linkages between community health workers and BH providers",Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,"Health professionals, CHWs, and communities in southeastern MA","BH workforce development; CHW linkages to mental health",Unknown,"Area health systems; Mass DPH","SeMa AHEC supports behavioral health workforce development in southeastern Massachusetts, including training community health workers who serve as bridges between immigrant and underserved communities and behavioral health providers in Bristol County.",Unknown,https://www.semasahec.org,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
"Southern Sudanese Solidarity Organization","Community Services and Mental Health Referrals – Lynn","Southern Sudanese Solidarity Organization","Immigrant/Refugee Service Organization",Unknown,"(781) 593-0100",Unknown,"20 Wheeler Street, 4th Floor",Lynn,MA,1902,Essex,1,"Lynn and North Shore; Essex County",In-person,Unknown,Unknown,Yes,Yes,Unknown,Yes,"South Sudanese, Sudanese, and East African refugee and immigrant communities","Case Management; Other (ESOL; social adjustment services; mental health referrals; cultural orientation; community support)",No,No,No,No,Unknown,Unknown,Unknown,"Community Center","ORI Social Adjustment Services; post-resettlement case management; ESOL; mental health referrals; cultural navigation; community events; co-located with other New American Center organizations","Arabic; South Sudanese Nuer and Dinka (per community)",Unknown,Yes,Arabic,"Yes – serves South Sudanese and Sudanese communities specifically",Unknown,Unknown,Unknown,Yes,Unknown,"Free; grant-funded through ORI","South Sudanese, Sudanese, and other East African refugees and immigrants","Mental health referrals for refugee communities; cultural mediation","RIAC; BCCRD; Congolese Development Center; IINE","The Southern Sudanese Solidarity Organization is co-located with several other refugee service organizations at the New American Center in Lynn (20 Wheeler Street). It provides ORI-funded Social Adjustment Services including case management, ESOL, and mental health referrals for South Sudanese and other East African refugee and immigrant communities.","ORI Community Partners Directory; DMH Northeast directory",https://www.mass.gov/info-details/ori-community-partners-directory,,,42.46071,-70.950879,1,rooftop,"20 Wheeler St","Ste 4","Lynn, MA 01902",,20,"Wheeler St",Ste,4,Lynn,MA,,"Essex County",01902,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzs7swrg3mtbn65qzumbrgmvyq4-eks78heeq6bh7,unit
"Spaulding Rehabilitation Network","Spaulding Rehabilitation – Psychiatric Liaison and Psychological Services","Mass General Brigham / Spaulding Rehabilitation","Hospital Outpatient",https://www.spauldingrehab.org/,"(617) 573-7000",Unknown,"300 First Avenue","Boston (Charlestown)",MA,2129,Suffolk,1,"Boston / Greater Boston",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,"Patients with physical rehabilitation needs and co-occurring mental health conditions; TBI; stroke; spinal cord injury","Psychological Testing; Individual Therapy; Psychiatric Medication Management; Care Coordination",Yes,Yes,No,No,No,No,No,Clinic,"Psychiatric liaison; neuropsychological evaluation; rehabilitation psychology; TBI; stroke; chronic pain mental health",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth, Medicare, commercial","Patients with physical rehabilitation diagnoses and mental health co-occurring needs","Rehabilitation psychology; TBI; neuropsychological assessment; chronic pain; stroke",Unknown,"MGH; Brigham and Women's; other MGB partners","Spaulding Rehabilitation in Charlestown provides psychiatric liaison and psychological services for patients with physical rehabilitation needs and co-occurring mental health conditions, including TBI, stroke, and spinal cord injury.","Spaulding website",https://www.spauldingrehab.org/,,42.378573,-71.049224,1,rooftop,"300 1st Ave",,"Charlestown, MA 02129",,300,"1st Ave",,,Charlestown,MA,,"Suffolk County",02129,US,,"City of Boston",gcod_usnrg4r9zucgxa965fnema9s4kaxg,building_centroid
"Spectrum Health Systems","Spectrum Health Systems – Waltham","Spectrum Health Systems",Residential/Detox,https://www.spectrumhealthsystems.org,"(877) 697-3422",Unknown,"210 Bear Hill Road",Waltham,MA,2451,Middlesex,"Multiple statewide","Waltham and surrounding Middlesex communities",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Substance Use Treatment; Case Management; Care Coordination",No,Yes,No,No,No,No,No,"Residential; Clinic","SUD residential and outpatient; detoxification; opioid treatment",Unknown,Unknown,Unknown,Unknown,Unknown,"Yes – MassHealth",Yes,Unknown,Unknown,Unknown,"MassHealth and insurance funded; sliding scale","Adults with SUD and co-occurring mental health","SUD residential; opioid treatment program",Unknown,Unknown,"Spectrum Health Systems in Waltham provides substance use disorder treatment including residential programs, detoxification, and opioid treatment. Co-occurring mental health needs are addressed alongside SUD. MassHealth and Medicare accepted.","City of Waltham Mental Health Resources page",https://www.city.waltham.ma.us/health-department/pages/mental-health-substance-use-disorder-support,,42.383581,-71.266026,1,rooftop,"210 Bear Hill Rd",,"Waltham, MA 02451",,210,"Bear Hill Rd",,,Waltham,MA,,"Middlesex County",02451,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzxwpkhkycw8seplncr5k9gshrd,building_centroid
"Spectrum Health Systems","Substance Use and Co-occurring Disorder Treatment – Norwood/Norfolk County","Spectrum Health Systems",Residential/Detox,https://www.spectrumhealthsystems.org,508-762-3600,Unknown,"Multiple sites serving Norfolk County","Multiple cities",MA,Multiple,Norfolk,"Multiple statewide","Norwood area and broader Norfolk County",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,"Adults with substance use disorders and co-occurring mental health conditions","Individual Therapy; Group Therapy; Psychiatric Medication Management; Other – MAT, residential SUD, detox",Yes,Yes,No,No,No,No,No,"Clinic; Residential","Outpatient, intensive outpatient (IOP), residential SUD treatment; MAT (methadone, Suboxone); dual diagnosis; co-occurring mental health treatment; partners with Aspire Health Alliance for CBHC SUD services (referenced as SSCP partnership)",Unknown,Unknown,Unknown,Unknown,No,"Yes – MassHealth","Yes – Medicare","Yes – most commercial insurance",Unknown,Unknown,"MassHealth and most commercial insurance accepted","Adults with SUD and co-occurring mental health conditions","Dual diagnosis; MAT; residential SUD; IOP",Unknown,"Aspire Health Alliance; local hospitals","Spectrum Health Systems provides a continuum of substance use disorder treatment for adults across Norfolk County, including outpatient, IOP, residential, and MAT programs for opioid and alcohol use disorders. It partners with Aspire Health Alliance's CBHC for co-occurring mental health and SUD services.","Aspire fact sheet (SSCP partnership reference); Org website",https://www.spectrumhealthsystems.org,,42.117511,-71.331793,0.6,place,,,"Norfolk, MA 02056",,,,,,Norfolk,MA,,"Norfolk County",02056,US,,"TIGER/Line® from the US Census Bureau",,
"Spectrum Health Systems","Outpatient SUD and Co-Occurring Treatment – South Shore/Quincy","Spectrum Health Systems","Community Mental Health Clinic",https://www.spectrumhealthsystems.org,508-762-3600,Unknown,"Unknown (South Shore locations)",Quincy,MA,2169,Norfolk,"Multiple statewide","Quincy, Braintree, and South Shore communities",Hybrid,Yes,Massachusetts,Unknown,Unknown,Unknown,Unknown,"Adults with SUD and co-occurring disorders; women with SUD","Individual Therapy; Group Therapy; Psychiatric Medication Management; Other – MAT, residential SUD, IOP, detox",Yes,Yes,No,No,No,No,No,"Clinic; Residential; Telehealth","Continuum from inpatient detox to residential rehab to MAT to outpatient counseling and peer recovery; dual diagnosis treatment; specialized programming for women with SUD; criminal offenders; youth and young adults; co-occurring MH treatment; integrated with Aspire Health Alliance via South Shore Community Partnership",Unknown,Unknown,Unknown,Unknown,No,"Yes – MassHealth","Yes – Medicare","Yes – most major insurance",Unknown,Unknown,"MassHealth, Medicare, and most major insurance accepted","Adults with SUD and co-occurring mental health conditions; women; justice-involved","MAT; dual diagnosis; women's SUD programming; inpatient detox",Unknown,"Aspire Health Alliance (SSCP partner); South Shore Hospital; courts","Spectrum Health Systems is Aspire Health Alliance's partner in the South Shore Community Partnership, providing a full continuum of SUD treatment from inpatient detox to residential rehabilitation, MAT, outpatient, and peer recovery for adults in Norfolk County, with specialized programming for women and justice-involved individuals.","Mass.gov SSCP page; Org website",https://www.spectrumhealthsystems.org,,42.241799,-71.006042,1,place,,,"Quincy, MA 02169",,,,,,Quincy,MA,,"Norfolk County",02169,US,,"TIGER/Line® from the US Census Bureau",,
"SSTAR (Stanley Street Treatment and Resources)","Main Campus – Outpatient, Detox, Dual Diagnosis, Primary Care",SSTAR,"Community Mental Health Clinic",https://www.sstar.org,"(508) 679-5222",Unknown,"386 Stanley St","Fall River",MA,2720,Bristol,"1 main campus + satellite","Bristol County; southeastern MA",Hybrid,Unknown,Massachusetts,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Group Therapy; Psychiatric Medication Management; Case Management; Residential; Detox",Yes,Yes,No,No,No,No,Clinic,"Inpatient detox; Dual Diagnosis Service (DDS); Ambulatory Behavioral Health; Clinical Stabilization Service (CSS); IOP; primary care; family services; triage center (7 days/wk)",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,"MassHealth (all plans), Medicare, commercial; sliding scale for uninsured","Adults with SUD; co-occurring MH; pregnant women; transitional-age youth","Full SUD + MH continuum; FQHC-affiliated; OTP/MAT (two Fall River locations); community partners program",Unknown,"HealthFirst; GNBCHC; area hospitals; SSTAR BH CP partners","SSTAR is a cornerstone behavioral health and primary care provider in Fall River, offering a full continuum from inpatient detox and dual diagnosis acute care to outpatient counseling, IOP, CSS, and MAT (methadone and buprenorphine at two locations). Affiliated with Boston Medical Center ACO. Triage Center open 7 days/week for immediate substance use and crisis access.","Org website; findhelp.org; Mass.gov BH CP",https://www.sstar.org/,,,41.715169,-71.136361,1,rooftop,"386 Stanley St",,"Fall River, MA 02720",,386,"Stanley St",,,"Fall River",MA,,"Bristol County",02720,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfhkx2n2zeqvu47q3t34b49vvtb,building_centroid
"SSTAR Women's Center","Domestic Violence Advocacy & Counseling",SSTAR,"Community-Based Organization",https://www.sstar.org,"(508) 675-1054",Unknown,"386 Stanley St","Fall River",MA,2720,Bristol,1,"Bristol County and surrounding areas (RI included)",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Women and girls; DV and sexual assault survivors","Individual Therapy; Support Groups; Crisis Intervention",Yes,No,No,No,No,No,No,"Clinic; Community Center","Advocacy; counseling; crisis intervention for survivors of DV and SA; collaboration with SSTAR primary care and SUD programs for integrated care",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"Free advocacy; sliding scale counseling","Women survivors of DV and SA in Fall River area","DV/SA trauma counseling with integration into SSTAR's FQHC and SUD continuum",Unknown,"SSTAR primary care; Fall River courts; area hospitals","SSTAR's Women's Center provides DV advocacy, counseling, and crisis intervention for survivors of domestic and sexual violence in Fall River, integrated with SSTAR's full primary care and behavioral health continuum. Accessible Mon–Fri 8:30am–6:30pm.","Bristol CC student resources page; findhelp.org",https://www.sstar.org,,41.715169,-71.136361,1,rooftop,"386 Stanley St",,"Fall River, MA 02720",,386,"Stanley St",,,"Fall River",MA,,"Bristol County",02720,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfhkx2n2zeqvu47q3t34b49vvtb,building_centroid
"St. Francis House","Mental Health Support Services for People Experiencing Homelessness","St. Francis House","Community-Based Organization",https://www.stfrancishouse.org/,"(617) 542-4211",Unknown,"39 Boylston Street",Boston,MA,2116,Suffolk,1,Boston,"In-person only",No,Unknown,Unknown,Unknown,Unknown,Unknown,"Adults experiencing homelessness; people in poverty; serious mental illness; substance use","Case Management; Support Groups; Referrals; Peer Support",No,No,No,No,No,No,No,"Community Center","New England's largest day shelter; mental health services; employment programs; ESOL; housing services; permanent supportive housing",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,"Free for shelter guests","Adults experiencing homelessness in Boston; all backgrounds","Homelessness; mental health navigation; ESOL; employment; housing",Unknown,"Pine Street Inn; BHCHP; BPHC; city shelter network","St. Francis House is New England's largest day shelter for adults experiencing homelessness, providing mental health referrals and navigation, employment training, ESOL, and housing services. It is part of the Boston Coordinated Care Hub for homeless adults with complex behavioral health needs.","Mass.gov Boston Coordinated Care Hub; St. Francis House website",https://www.stfrancishouse.org/,,42.352172,-71.06391,1,range_interpolation,"39 Boylston St",,"Boston, MA 02116",,39,"Boylston St",,,Boston,MA,,"Suffolk County",02116,US,,"TIGER/Line® from the US Census Bureau",gcod_usnat8qdz5bjjbp9z5zjdesv6gsg7,
"St. Patrick Parish / Acre Neighborhood Lowell","St. Patrick Parish – Acre Neighborhood Pastoral/Mental Health Support","St. Patrick Parish / Roman Catholic Diocese of Worcester (Lowell vicariate)","Faith-Based Organization",Unknown,Unknown,Unknown,"282 Suffolk Street",Lowell,MA,1854,Middlesex,1,"Lowell Acre neighborhood; immigrant communities","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Central American; Mexican; Latino immigrant communities in the Acre","Peer Support; Community Outreach; Referrals; Psychoeducation",No,No,No,No,No,No,No,Faith-Based,"Pastoral counseling; community support; social services navigation; ESL classes; mental health referrals; community gatherings; youth programming; immigration support navigation",Spanish,Spanish,Unknown,Unknown,"Latino/Hispanic immigrant communities",No,No,No,"Yes – free",No,"Free faith-based services","Catholic immigrant community in Lowell; open to all","Pastoral counseling; immigrant community support; social services navigation",Unknown,"Alternative House; Centro Presente; Lowell CHC","St. Patrick Parish in Lowell's Acre neighborhood provides pastoral counseling, social services navigation, and mental health referrals for the large Central American, Mexican, and Latino immigrant community in the Acre. Spanish-speaking pastoral staff provide a trusted entry point for mental health help for undocumented immigrants.","GLHA community partner list; Lowell city community resources",Unknown,,42.645369,-71.318456,1,rooftop,"282 Suffolk St",,"Lowell, MA 01854",,282,"Suffolk St",,,Lowell,MA,,"Middlesex County",01854,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn633ebu3xxgkt6s88ewq6qeyl9g,building_centroid
"Statewide Independent Living Council (SILC) / Independent Living Centers","Independent Living Services Including Mental Health Supports – Norfolk County","Massachusetts Statewide Independent Living Council",Other,https://www.masilc.org,Unknown,Unknown,Statewide,Statewide,MA,N/A,Statewide,"Multiple ILC locations","Statewide including Norfolk County","In-person only",No,N/A,Unknown,Unknown,Unknown,Unknown,"People with disabilities","Care Coordination; Case Management; Other – independent living skills, peer support, information and referral",No,No,No,No,No,No,No,"Community Center","Network of Independent Living Centers provides information and referrals to people with disabilities and their families; training in independent living skills; community participation supports; peer support; map of ILCs at masilc.org/findacenter",Unknown,Unknown,Unknown,Unknown,No,No,No,No,No,No,Free,"People with disabilities in Massachusetts including Norfolk County","Independent living; peer support; disability services navigation",Unknown,"DDS; DMH; MRC; local disability organizations","The Massachusetts network of Independent Living Centers provides free information, referral, and independent living skills training for Norfolk County residents with disabilities, including those with mental health conditions. ILCs offer peer support and help individuals participate fully in their communities.","DMH Statewide Resources page; SILC website",https://www.masilc.org,,42.15652,-71.489592,1,state,,,MA,,,,,,,MA,,,,US,,"TIGER/Line® from the US Census Bureau",,
"Steppingstone, Inc.","Outpatient Mental Health & SUD – New Bedford","Steppingstone, Inc.","Community Mental Health Clinic",https://steppingstoneinc.org,"(508) 674-2788",Unknown,"5 Dover St, Suite 201","New Bedford",MA,2740,Bristol,"Multiple (Fall River, New Bedford)","Bristol County",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"People with HIV/AIDS; homeless and at-risk individuals; adults with SUD","Individual Therapy; Case Management; Care Coordination; Support Groups",Yes,No,Yes,No,No,No,No,Clinic,"Case management and care coordination for HIV/AIDS; housing; outreach; apartment searches for homeless; SUD outpatient counseling",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"MassHealth, Medicare, commercial; sliding fee","Adults in Bristol County with SUD, MH, HIV/AIDS","HIV/AIDS mental health and case management; housing supports",Unknown,"Southcoast Health; local housing agencies","Steppingstone provides outpatient SUD and mental health counseling in New Bedford and Fall River, with specialized programming for individuals living with HIV/AIDS including case management, housing navigation, and apartment searches. Also provides outreach to homeless and at-risk adults.","Bristol County COC Street Sheet; findhelp.org",https://steppingstoneinc.org/outpatient-treatment/,,41.63603,-70.924811,1,rooftop,"5 Dover St","Ste 201","New Bedford, MA 02740",,5,"Dover St",Ste,201,"New Bedford",MA,,"Bristol County",02740,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usny4jz3bq4rgtrg58b8sl33tnwv2-xuuek837hvzk6,unit
"Steppingstone, Inc.","Outpatient Mental Health & SUD – Fall River","Steppingstone, Inc.","Community Mental Health Clinic",https://steppingstoneinc.org,Unknown,Unknown,"279 North Main St","Fall River",MA,2720,Bristol,Multiple,"Greater Fall River",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Adults with SUD and co-occurring MH disorders; people with trauma, PTSD, schizophrenia","Individual Therapy; Group Therapy; Case Management",Yes,No,Yes,No,No,No,No,Clinic,"SUD and mental health outpatient; co-occurring treatment; dual diagnosis",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,"MassHealth, Medicare, commercial accepted","Adults with SUD and mental illness in Fall River area","Co-occurring disorder treatment; dual diagnosis; PTSD; schizophrenia",Unknown,"Area hospitals; Southcoast Health","Steppingstone's Fall River clinic provides outpatient SUD and mental health counseling for adults with dual diagnosis conditions including PTSD and schizophrenia. Part of the broader Steppingstone continuum in Bristol County.","SAMHSA/mentalhealthcenters directory",https://steppingstoneinc.org/outpatient-treatment/,,41.705713,-71.15464,1,rooftop,"279 N Main St",,"Fall River, MA 02720",,279,"N Main St",,,"Fall River",MA,,"Bristol County",02720,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntw6r4ffbn2rg7fxv3s3qesztwh,building_centroid
